Date,Aircraft type,Registration,Operator,Fatalities,Location,Damage,Manufacturer,Model,Year
2019-07-09,airbus a320-214 (wl),OE-IVQ,easyjet europe,0,Amsterdam,minor,airbus,a320-214 (wl),2019
2019-07-10,airbus a380-861,A6-EEM,emirates,0,Bengal,none,airbus,a380-861,2019
2019-07-12,atr 42-500,SX-FOR,sky express,0,NaxosNational,substantial,atr,42-500,2019
2019-07-12,cessna 525 citationjet,N262BK,omicron business services,0,Orlando Executive,substantial,cessna,525 citationjet,2019
2019-07-13,beechcraft b200 super king air,,unknown,0,Graham Creek,write-off,beechcraft,b200 super king air,2019
2019-07-16,antonov an-2,RA-3098K,unknown,0,Novoshchedrinskaya,write-off,antonov,an-2,2019
2019-07-17,cessna 550 citation ii,N320JT,avia jet,0,Mesquite,write-off,cessna,550 citation ii,2019
2019-07-19,de havilland canada dhc-8-402q dash 8,C-FKWE,westjet encore,0,Edmonton,substantial,de havilland canada,dhc-8-402q dash 8,2019
2019-07-20,atr 42-500,AP-BHP,pakistan international airlines,0,Gilgit,substantial,atr,42-500,2019
2019-07-22,boeing 767-322er (wl),N663UA,united airlines,0,San Juan,none,boeing,767-322er (wl),2019
2019-07-23,boeing 757-324 (wl),N57852,united airlines,0,San Francisco,substantial,boeing,757-324 (wl),2019
2019-07-23,boeing 737-36n (wl),5N-BQO,air peace,0,Lagos,substantial,boeing,737-36n (wl),2019
2019-07-24,boeing 777-333er,C-FNNQ,air canada,0,Paris,none,boeing,777-333er,2019
2019-07-25,ilyushin il-76td,UR-CMC,europe air,1,Al Jufra Airbase,write-off,ilyushin,il-76td,2019
2019-07-25,ilyushin il-76td,UR-CRP,europe air,0,Al Jufra Airbase,write-off,ilyushin,il-76td,2019
2019-07-26,cessna 208 caravan 675,C-GURL,seair seaplanes,4,Addenbroke,write-off,cessna,208 caravan 675,2019
2019-07-27,fairchild sa227-ac metro iii,N681TR,sierra west airlines,0,El Paso,substantial,fairchild,sa227-ac metro iii,2019
2019-07-30,avro rj85,VH-NJW,cobham aviation services,0,Perth,substantial,avro,rj85,2019
2019-07-30,airbus a319-114,D-AILR,lufthansa,0,Frankfurt,substantial,airbus,a319-114,2019
2019-07-30,unknown,,fuerza aérea de guinea ecuatorial,0,Grand Batanga,write-off,unknown,unknown,2019
2019-07-30,beechcraft b300 king air 350i,766,pakistan army aviation corps,19,Mora Kalu,write-off,beechcraft,b300 king air 350i,2019
2019-07-31,douglas dc-3c,N59314,bush air fuel,0,Drift River,substantial,mcdonnell douglas,dc-3c,2019
2019-07-31,bombardier crj-900er,N947LR,mesa airlines,0,Dallas,substantial,bombardier,crj-900er,2019
2019-08-01,douglas c-118a liftmaster (dc-6a),N451CE,everts air cargo,0,Candle 2,substantial,mcdonnell douglas,c-118a liftmaster (dc-6a),2019
2019-08-02,airbus a330-243,G-MLJL,thomas cook airlines,0,SUMRS waypoint,minor,airbus,a330-243,2019
